num,name,blog or review,visitor review content
16,배곧 우정횟집,방문자 리뷰,이모님들 너무너무 친절하시고요 조개도 신선하고 다른곳에 비해 조개 종류가 많아서 너무 좋았어요! :)
17,배곧 우정횟집,방문자 리뷰,오랜만에 다녀온 오이도 음식 너무나도 맛있고 가격대비 최고 홀서빙해 주시는 이모님 너무나도 친절하고 피드백도 빠르고 너무 좋아요 다음에 또 방문합니다
18,배곧 우정횟집,방문자 리뷰,일단 뷰가 너무 좋습니다직원분들도 친절하시고   음식도 깔끔하니 맛잇습니다
19,배곧 우정횟집,방문자 리뷰,"사장님이 엄청 친절하시고, 뷰도 좋고 회가 신선하고 맛있어요~~"
20,배곧 우정횟집,방문자 리뷰,양도 많고 맛있어요. 이모님도 친절하시고 특히 여기 간장게장 한번 맛보면 다른집 못가요.
21,배곧 우정횟집,방문자 리뷰,"양 많고 맛있어요!
친절해요 ~"
22,배곧 우정횟집,방문자 리뷰,사장님이 서비스로 마끼도 주시고‼️반찬도 다 너무 맛있었습니당!!🐠💕
23,배곧 우정횟집,방문자 리뷰,"오이도 우정횟집 방문   2인셋트 칼국수 조개구이  회

셋트 가성비 좋아여"
24,배곧 우정횟집,방문자 리뷰,다시 가지말자 !!   아고 미치겠다
25,배곧 우정횟집,방문자 리뷰,정말 맛있게 먹고 갑니다. 오이도에서 먹어본 횟집 중 최고네요!!
26,배곧 우정횟집,방문자 리뷰,"이모들 완전 친절하고 좋아요❤️
맛있고 신선해요😍"
27,배곧 우정횟집,방문자 리뷰,사장님 너무 친절하시고 유쾌하세요! 뷰도 너무 예쁘고 좋아요! 밑반찬도 너무 맛있어요 감사합니다!
28,배곧 우정횟집,방문자 리뷰,"조개구이를 좋아하는 친구와 같이 방문했어요~^^ 처음 간 곳인데도 분위기도 좋고 음식도 깔끔하니 좋아요ㅋㅋ맛도 중요하지만 식당직원분들의 서비스에도 감동
받았어요ㅋ 3층에서 식사를 했는데 3층 이모님 최고예요! 저는 조개구이가 처음이라 어색해하는데 친절하게 설명도 해주시고 딸하고 비슷한 또래라고 더 신경써
주시구ㅜㅜ감동먹었어요. 나중에 오이도 가면 다시 방문할거예요:D 그때도 직원분의 좋은 서비스와 맛으로 기분이 좋길 바랄게요. 번창하세요~^^"
29,배곧 우정횟집,방문자 리뷰,"정신없이 먹다보니 어느새 순삭!!!
양도 많고 맛도 픙부해요 특히 해물의 각각의 고유한 맛을 살려 국물 한입한입이 예술입니다 크으"
30,배곧 우정횟집,방문자 리뷰,"여기 진짜 맛있구 좋아요!
직원분들도 친절하시구 재방문 의사 100프로입니당"
31,배곧 우정횟집,방문자 리뷰,재료가 신선하고 이모님들 친절하고 맛있게 먹고가요.사장님 많이 파시고 번창하세요~~
32,배곧 우정횟집,방문자 리뷰,회도 싱싱하고 해물칼국수에 해물이 엄청 실해요~정말 맛있게 먹었습니다. 창가 자리 경치도 좋아서 여행온거 같은 기분이었어요.
33,배곧 우정횟집,방문자 리뷰,회도 양이 많고 반찬도 얼마나 많은지 넷이 배터지게 먹었네요~사장님 친절하셔서 이거 저거 잘 챙겨주시고 회도 싱싱해서 좋았어요.
34,배곧 우정횟집,방문자 리뷰,싱싱한 조개가 넘쳐욤
35,배곧 우정횟집,방문자 리뷰,바다 전망이  좋아요~
36,배곧 우정횟집,방문자 리뷰,맛있습니다 ㅎㅎ 
37,배곧 우정횟집,방문자 리뷰,"깔끔한맛으로 아이들먹이기도 좋고 신선하고 좋았습니다.
방은 엉덩이가 따뜻하고..
다들 친절하시고 기분좋게 먹고갑니다."
38,배곧 우정횟집,방문자 리뷰,맛있고  좋아요
39,배곧 우정횟집,방문자 리뷰,맛있어요
40,배곧 우정횟집,방문자 리뷰,처음 왔는데 너무 친절 하시고 음식이 싱싱하고 너무 맛있어요!
41,배곧 우정횟집,방문자 리뷰,맛있어요~창가에 앉으면 뷰도 좋습니당~~
42,배곧 우정횟집,방문자 리뷰,오래된 단골집 입니다. 맛있게 먹었습니다. 어느순간부터 간강게장 추가비용 받는게 아쉽지만..   늘 찾는곳이예요~~
43,배곧 우정횟집,방문자 리뷰,"음식 가짓수도 많고 맛좋아요
게다가 뷰 맛집이네요~"
44,배곧 우정횟집,방문자 리뷰,오이도에 오면 항상 들리는 맛집!
45,배곧 우정횟집,방문자 리뷰,친절하시고 좋았어요. 가격은 좀 비싸긴해요. 생각보다 칼국수는 별로였구요. 스끼다시는 잘 나왔어요.
46,배곧 우정횟집,방문자 리뷰,이모님 너무 친절하시고 반찬들도  넘후 맛있어요! 인생맛집 존맛탠 오이도하면 우정횟집 냠냠 메인음식도 나무나무 맛있아요 잘먹고갑니당~!
47,배곧 우정횟집,방문자 리뷰,너무너무 맛있어요~~~👍🏼👍🏼👍🏼☺️
48,배곧 우정횟집,방문자 리뷰,"위에 리뷰. 사진처럼 저랬다면. 좋았을껄. 그릇도 전혀다르네. 꼭 저렇게 해달라 하시길~^* 뜨내기 손님으로 봤어도 그렇게 대하지는 않을 듯. 아무리 바빠도~ 처음
에 물통. 종이컵. 수저도 우당탕 놓기 시작하더니.. 상을 빨리 치워줘야 맛있는 거 드실 수 있다며, 빨리 먹고 나가라는 식. 옆에서 계속 우당탕 치우는데, 메인 모듬
회가 나왔는데, 맛있게 드세요. 하더니, 가버려놓고, 이거 안나왔다고 했더니, 나올 꺼라고 핑계대면서 툭 거리고. 결국 생선구이, 샐러드. 몇가지가 안나온 ..."
49,배곧 우정횟집,방문자 리뷰,"모듬회 코스 소자 시켰는데, 너무 풍성하고 괜찮았어요! 관광지 주변은  맛은 별로고, 비싼경우가 많은데 여긴 여자 셋 양이서 모둠회 소자 시키니 정말 배불르게 
잘 먹었습니다!  원래 리뷰 잘 안쓰는데! 너무 만족해서 적어요 ㅎㅎ 회, 스키다시 모두 다채롭고 싱싱했고, 직원분들도 다 친절 하셨어요! 특히 강아지 동반 되서 좋
네요 ㅎㅎ"
50,배곧 우정횟집,방문자 리뷰,"친구 소개로 오늘 처음 와 봤는데 가게 안에도 매우 청결할 뿐더러 가성비 가득한 음식들이 가득했어요!
다음에도 방문 할 예정입니당 ~~~~"
51,배곧 우정횟집,방문자 리뷰,바다가 정면이라 노을이 예뻐요 이모들도 친절하시구 조개굽는것두 재밌어여 오이도 하면 조개구이가 명물이죠 ㅎㅎ
52,배곧 우정횟집,방문자 리뷰,엄청 푸짐하고 신선해요~~
53,배곧 우정횟집,방문자 리뷰,맛있어용
54,배곧 우정횟집,방문자 리뷰,소개 받고 갔는데 좀 실망했습니다 가격에 비해 스끼다시가 다양한 편도 아니고 회의 양도 좀 부족했어요
55,배곧 우정횟집,방문자 리뷰,사장님 넘 친절하시고 스키다시 미쳤어요....😍
56,배곧 우정횟집,방문자 리뷰,오늘 처음 오이도에 놀러왔다가 첫 방문한 식당이였는데 직원분들도 너무 친절하시고 음식 맛도 기가 막히네용 ㅎㅎ무엇보다 뷰가 너무 좋아서 음식 맛이 2배로 느껴졌어요👍❤ 다음에 오이도 오면 꼭 또 와야겠어요ㅎㅎ😚
57,배곧 우정횟집,방문자 리뷰,진짜 맛있고 서비스가 좋네요
58,배곧 우정횟집,방문자 리뷰,싸고도 맛있어요
59,배곧 우정횟집,방문자 리뷰,서비스도 많이 주시고 양도 많아서 둘이서 배터지게 먹었네요!
60,배곧 우정횟집,방문자 리뷰,감성돔 먹구 왔네요^_^ 너무 맛있고 신선해용^^ 제가 비린 건 못 먹는데 하나도 안 비리고 맛나요!! 그리고 너무 친절하시고 새우 머리도 다 따주시고 껍질도 벗겨주셨어요 ㅠㅠㅠ 주변에 추천하려구요~!! 잘 먹다 갑니당^^
61,배곧 우정횟집,방문자 리뷰,좋은 뷰를 바라보며 먹는 싱싱한 해산물이 끝내줍니다. 서빙하시는 분들이 넘 친절하고 음식 또한 일품이네요.
62,배곧 우정횟집,방문자 리뷰,회 먹으러 오이도 왔는데 너무 푸짐하고 맛있게 먹었어요 양도 많고 맛도 있고!! 무엇보다 친절해서 더 맘에 듭니다 다음에도 회 먹고 싶으면 무조건 우정횟집으로  와야겠어요~이벤트도 감사합니다!
63,배곧 우정횟집,방문자 리뷰,너무 맛있어요~
64,배곧 우정횟집,방문자 리뷰,신선하고  맛있어요  .
65,배곧 우정횟집,방문자 리뷰,재철 새조개
66,배곧 우정횟집,방문자 리뷰,친절하고ᆢ깨끗하고ᆢ맛나요~^^
67,배곧 우정횟집,방문자 리뷰,굳굳
68,배곧 우정횟집,방문자 리뷰,너무너무 친절하시고 추운날 맛있게 잘 먹고갑니다~
69,배곧 우정횟집,방문자 리뷰,상다리 부러지게 많이 나온다는 후기보고 왔는데서빙하는 이모님이 접시들고 나타나실 때마다 무서워요. 배가 터지기 일보직전인데 계속 들고 나타나셔요. 양도 많고 맛도 좋고 이모님들도 친절하시고...다음에 또 꼭 올것같아요~😀
70,배곧 우정횟집,방문자 리뷰,칼국수 완전맛있어요!
71,배곧 우정횟집,방문자 리뷰,완전 친절하시고 양도 많고 맛있어용🥰
72,배곧 우정횟집,방문자 리뷰,굿
73,배곧 우정횟집,방문자 리뷰,친절하시고 맛있습니다 ㅎㅎ
74,배곧 우정횟집,방문자 리뷰,"정말 잘먹었습니다
푸짐해요"
75,배곧 우정횟집,방문자 리뷰,조개찜먹으러 왔는데 매장도 깨끗하고 친절하고 맛있어요!
76,배곧 우정횟집,방문자 리뷰,좋아요 
77,배곧 우정횟집,방문자 리뷰,너무 맛있어요~~~
78,배곧 우정횟집,방문자 리뷰,간단하게 먹기 좋더라고요
79,배곧 우정횟집,방문자 리뷰,"정말 실망스럽고  두번다시 가고싶지 않습니다 .예전에는 회도 싱싱하고 기본찬도 잘 나왔으며 고객응대도 좋았는데  오늘은 앞전과 같은 세트를 시켰는데도 기본
찬도 다 나오지 않았고 얘기해야 챙겨주고  찬의 구성도 허접했으며 예전에는 소금구이 해주던 대하가 물렁물렁 삶아서 나오고 대하머리를 버터구이 해주던것도 
없어졌고 최고로 기분이 나빴던것은 마지막 칼국수를 기다려도 기다려도 나오지않고 직원의 여타부타 언제쯤나온다 기다리게 해서 미안하단 얘기도 없고 ..."
80,배곧 우정횟집,방문자 리뷰,좋아요  맛있어요
81,배곧 우정횟집,방문자 리뷰,너무맛있게먹었어요
82,배곧 우정횟집,방문자 리뷰,굿
83,배곧 우정횟집,방문자 리뷰,맛있어요!
84,배곧 우정횟집,방문자 리뷰,너무 맛있어요!! 행복합니다
85,배곧 우정횟집,방문자 리뷰,회정식2인분 양많고 맛있어요!!
86,배곧 우정횟집,방문자 리뷰,"우정횟집 해물칼국수 언니들과 먹었어요
넘 신선하고 맛있어요   담에 또오길 기약하며~~"
87,배곧 우정횟집,방문자 리뷰,칼국수 양도 많고 맛이 정말 좋습니다 특히 간장게장을 밑반찬으로 주시는데 시중에서 파는 게장보다 훨씬 맛있습니다
88,배곧 우정횟집,방문자 리뷰,너무 맛도리
89,배곧 우정횟집,방문자 리뷰,맛있어요.
90,배곧 우정횟집,방문자 리뷰,"친절하고 매장도 깨끗하고  맛있어요
번창하세요~~~!!!!"
91,배곧 우정횟집,방문자 리뷰,친절 음식맛나요
92,배곧 우정횟집,방문자 리뷰,"점심특선 칼국수 먹었는데 초밥도 주시고 칼국수도 양 많고 맛있었어요~ 재방문 의사 있어요!
리뷰이벤트하신다던데 전 이벤트 참여하지 않았지만 맛있었어서 씁니다ㅎㅎ"
93,배곧 우정횟집,방문자 리뷰,좋아요
94,배곧 우정횟집,방문자 리뷰,맛있게 잘 먹었습니당ㅎㅎㅎ
95,배곧 우정횟집,방문자 리뷰,좋아요
96,배곧 우정횟집,방문자 리뷰,맛나요
97,배곧 우정횟집,방문자 리뷰,푸짐하게 잘먹었습니다
98,배곧 우정횟집,방문자 리뷰,음식이 정말 빨리나오고 전이 기가 막힙니다 예술이에요~~ 따봉!!!!!!!
99,배곧 우정횟집,방문자 리뷰,맛있고 양도 푸짐해요!!
100,배곧 우정횟집,방문자 리뷰,음식맛있고 친절합니다
101,배곧 우정횟집,방문자 리뷰,처음으로 와본 오이도에서 맛있는 음식과 뷰가 좋았어요~^^   또오고 싶네요ㅎㅎㅎ
102,배곧 우정횟집,방문자 리뷰,"너무 맛있어요ㅠㅠㅠㅠ
잘 먹고갑니당😁
다음에 또 올게요~"
103,배곧 우정횟집,방문자 리뷰,"밑반찬 맛있고 이모님들 친절
물회가 생각외로 맵다"
104,배곧 우정횟집,방문자 리뷰,가격이 후덜덜 합니다
1,배곧 소쇄원 배곧본점,방문자 리뷰,"두번째 방문인데 이제야 리뷰쓰네욤. 배곧 먹을곳 많아서 두번이상가야 맛집이다 할정도로 번화가인데 두번오면 말 다했쥬🤣 밑반찬이 상이 부족할 정도에요. 반
찬들은 무한으로 셀프바라 부족함 없고 고기도 가성비 좋네요. 날씨 좋아져서 야외테이블에서 먹었는데 인기많네요 테이블 꽉찼더라구용 동네에 이런맛집 있어서
좋습니다. 돼지고기는 한번도 여기서 안먹어봤는데 다 먹구 일어나려는데 뒤에 테이블에서 고기보고 담엔 돼지고기 먹어보자 하고 나왔습니다. 소쇄원 돈..."
2,배곧 소쇄원 배곧본점,방문자 리뷰,맨날 미인세트만 먹다가 삼겹한판먹었는데…대박..이거 진짜 양많고ㅜㅜ너무 맛있어요…소고기맛집은 돼지고기도 맛있네요…술도 진짜..이시릴정도로 시원해서…여기만오면 기본 4병입니다..또올꺼에요..
3,배곧 소쇄원 배곧본점,방문자 리뷰,"소쇄원배곧본점 가보았는데요  한정 주문해야 되는 일품소갈비 몽땅 주문했더니 계란찜이 기본으로 나와요  곁들임(사이드메뉴)은 김치말이국수 & 된장찌개에 공
기밥 주문해갖고 소주 한 상 제대로 먹고 나왔습니다  가격에 맛까지 만족스럽고, 우리 동네에 이런 곳이 왜 없나 싶어요"
4,배곧 소쇄원 배곧본점,방문자 리뷰,"저렴한데 맛있어요!! 고기 진짜 와웅……
손님 많은 이유가 있습니다
반찬이 달달해서 쫌 덜 달았으면 좋겠어요🤗"
5,배곧 소쇄원 배곧본점,방문자 리뷰,"안창살 주문했는데 너무 맛있어요!!!  정말 부드럽고 나오는 반찬도 맛있고, 추가주문한 육회 비빔밥 완전 제 스탈 입니다 ㅠㅠ!!!!!!!"
6,배곧 소쇄원 배곧본점,방문자 리뷰,"매장 넓고 음식도 다 맛있고
반찬 셀프라서 좋아요!!!"
7,배곧 소쇄원 배곧본점,방문자 리뷰,"매번 소고기 먹다가 삼겹먹엇는데 이것도 맛있네요. 
역시나 이동네 가성비 식당! "
8,배곧 소쇄원 배곧본점,방문자 리뷰,정말 너무너무 맛있어요 최고입니당❤️❤️❤️ 사장님 친절하시고 맛집입니다!
9,배곧 소쇄원 배곧본점,방문자 리뷰,여기진짜 배곧최고맛집이에요ㅠㅠ술이너무차서…술이술을 부름..ㅎㅎ
10,배곧 소쇄원 배곧본점,방문자 리뷰,"배곧 맛집~~~소쇄원 단골이 되어가네요 .고기 먹고싶은 날,기분좋은 날,배곧쪽으로 가는날 ~~가성비 으뜸!!맛도 좋고 서비스도 좋고 고기 땡길땐 소쇄원으로 ~~~~!!"
11,배곧 소쇄원 배곧본점,방문자 리뷰,"테라스 자리 있어서 너무 좋아요!! 그리고 고기도 좋고 맛있어요~ 동네에 사는데, 소고기 먹고싶을 땐 여기로 오력 요"
12,배곧 소쇄원 배곧본점,방문자 리뷰,항상 미인세트만 먹다가 소갈비메뉴가 생겨서 먹어봤는데…!소갈비도 너무 맛있어요ㅜㅜ반찬도 하나하나 넘 맛있구요..특히 술이 넘 차가워서..계속 들어가네요^^사장님..장사 잘하시네요..재방문 의사 있습니다!
13,배곧 소쇄원 배곧본점,방문자 리뷰,일주일 만에 또 왔어용 ♥️ 맛있어요 
14,배곧 소쇄원 배곧본점,방문자 리뷰,"오늘 처음 방문 한 소쇄원..
고기 부위별로 깃발이 있어서 너무 귀어웠어요! 맛있었어요 ㅠㅠ 미인세트 둘이 먹기 양도 넉넉하고 가격도 좋고 서비스 너무 감사합니다 ㅠㅠ 안그래도 맛 보고 싶었거든요! 신선한 재료로 너무 감사한 식사였습니다 💛"
15,배곧 소쇄원 배곧본점,방문자 리뷰,넘나맛나용^^반찬이 조금 달아요
16,배곧 소쇄원 배곧본점,방문자 리뷰,"애기랑 같이갔어요~~리뷰 잘안쓰는데 정말 고기맛있네요~~이가격에 정말 가성비 최고네유~~ 부모님 모시고 또가야겠네용^^ 애기도 고기맛있오~~ㅋㅋ 많이파
세용~"
17,배곧 소쇄원 배곧본점,방문자 리뷰,퀄리티 좋은 고기 맛나게 먹을거에오오오옹
18,배곧 소쇄원 배곧본점,방문자 리뷰,감사합니다. 잘 먹었습니다.
19,배곧 소쇄원 배곧본점,방문자 리뷰,고기 질 너무좋고 가격도좋아요~~ 테라스에서 먹으니까 분위기좋네요 ^^ 추천합니다~~
20,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 너무 맛있고 신선했어요! 배곧에서 여러 고깃집 다녔는데 너무 맛있었어요👍🏻👍🏻
21,배곧 소쇄원 배곧본점,방문자 리뷰,맛있고 깔끔해용 ㅎㅎ자주오게되네요
22,배곧 소쇄원 배곧본점,방문자 리뷰,휴가나온 동생이랑 아침 일찍 왔는데 다들 친절하게 맞이해주시고 음식도 대만족 입니다^^
23,배곧 소쇄원 배곧본점,방문자 리뷰,고기도 신선하고 맛있고 대체적으로 깔끔하고 좋았어요! 맛있게 잘먹고왔어요^^
24,배곧 소쇄원 배곧본점,방문자 리뷰,삼겹~강추여.. 반찬도 깔끔. 맛나지여.^^
25,배곧 소쇄원 배곧본점,방문자 리뷰,"고기 양과 질이 최고에요ㅎ 서비스로 주신 천연, 간도 너무 맛있습니다!! 낮술 제대로 한잔 합니다^^"
26,배곧 소쇄원 배곧본점,방문자 리뷰,"야외테라스분위기 최고에요
숯불향 입은 고기 넘맛있어요"
27,배곧 소쇄원 배곧본점,방문자 리뷰,너무너무 맛있어요 !!! 다음에 또 올게요~~~
28,배곧 소쇄원 배곧본점,방문자 리뷰,소갈비가 400g에 29000원인집..여기밖에 없을듯요^^싸다고 퀄리티 안좋을거라 생각하면 오산입니닷…통통한것좀 보소
29,배곧 소쇄원 배곧본점,방문자 리뷰,"음식들은 맛있지만 직원들의 태도와 손님응대가 미숙해 다시는 가고싶지 않음 말하지는 않았지만 추가주문 시 누락은 기본이며 계산할때 주차등록 여부에대해 묻
지않아 20분뒤 돌아가 주차등록을 요청하였더니 째려보는 눈빛으로 나간지 한참되지 않았냐며 말하시던데 이게 맞는건가요? 기본적인 교육부터 다시 받으시길 
바랍니다. 남편도 나오면서 눈빛이 왜저러냐고 말할정도 였어요 저희가 뭐 안되는거 부탁드린것도 아니고.. 다시 생각해도 기분나쁘네요. 기본적인 손님 응..."
30,배곧 소쇄원 배곧본점,방문자 리뷰,배곧 소고기 맛집 인정~!
31,배곧 소쇄원 배곧본점,방문자 리뷰,황제 소갈비에요 넘 맛있어요
32,배곧 소쇄원 배곧본점,방문자 리뷰,매장도 넓고 가격도 저렴해요 ㅠㅠ 존맛 🫶🏻
33,배곧 소쇄원 배곧본점,방문자 리뷰,"고기가  입에서 살살녹아요  
직원분들도 아주 친절해요~~~!!!
집근처라 단골각입니다~~~!!"
34,배곧 소쇄원 배곧본점,방문자 리뷰,소고기가 생각나면 항상 배곧 소쇄원으로 와요^^
35,배곧 소쇄원 배곧본점,방문자 리뷰,소한마리~~부드럽고 맛나욥!!!
36,배곧 소쇄원 배곧본점,방문자 리뷰,아가들이 잘먹어서 넘좋았아요♡
37,배곧 소쇄원 배곧본점,방문자 리뷰,가족과 함께 오기 너무 좋아요
38,배곧 소쇄원 배곧본점,방문자 리뷰,고기들이 신선해서 보기도 좋고 맛도 너무 좋아요. 고기 먹으러 자주옵니다
39,배곧 소쇄원 배곧본점,방문자 리뷰,집앞에 있는 고깃집인데 너무 맛있어서 자주 갑니다. 리뷰 이벤트도 있고 삼겹살도 맛있고 좋아요~!!
40,배곧 소쇄원 배곧본점,방문자 리뷰,고기는 맛있었는데 된장찌개 시켰는데 몇십분동안 안나오길래 물어보니까 시켰냐고 되묻는건 좀 아닌거같네요 사과 하나없이 국없이 밥을 잘 못먹는데 밥먼저 주셔서 밥을 한알한알 먹었네요 저도 서비스직 일하는사람으로써 바쁘면 당연히 신경 못쓰는건 이해는 하는데 사과없는건 아닌거같네요 .
41,배곧 소쇄원 배곧본점,방문자 리뷰,"고기는 맛있었음
하지만 전체적으로 정신없구 직원들 불친절함"
42,배곧 소쇄원 배곧본점,방문자 리뷰,고기도 좋고 맛있고 서비스도 좋아요!! 가성비좋고 자주 올것같아요~~
43,배곧 소쇄원 배곧본점,방문자 리뷰,"여기 저희 진짜 단골집이예여
고기 신선하고 넘 맛있어여"
44,배곧 소쇄원 배곧본점,방문자 리뷰,"고기가 맛있고, 직원분들도 친절해요"
45,배곧 소쇄원 배곧본점,방문자 리뷰,"이런거 처음인데, 아주 괜찮은 것 같습니다!
반찬 주시던 분이 간, 천엽 서비스로 주냐고 물어보고, 5000원 하는 천엽도 받고, 육회도 서비스 주시고 넘 좋더라구요! 인원이 좀 많아서 육회 한입 씩 하면 끝났지만 그래도 좋더라구요ㅎㅎ 다음엔 전골? 맛있다고 맛있다고 그래서 먹어보려 합니다~~ ٩( ᐛ )و"
46,배곧 소쇄원 배곧본점,방문자 리뷰,넓고 맛잇어요 (이베리코먹음)
47,배곧 소쇄원 배곧본점,방문자 리뷰,맛있어서  자주 오는 편이예요^^%
48,배곧 소쇄원 배곧본점,방문자 리뷰,맛있어요 또 방문할것같아요!
49,배곧 소쇄원 배곧본점,방문자 리뷰,황제갈비몽땅 무려 400g에 29000원? 이게 실화네 ..헉~~가격에 놀람 😬 양에 더욱 놀람 😬맛에 더더욱 놀람 😬  가성비 짱!!!
50,배곧 소쇄원 배곧본점,방문자 리뷰,소한마리 몽땅 강추예요♡♡
51,배곧 소쇄원 배곧본점,방문자 리뷰,소고기 생각나면 항상 소쇄원으로 와요^^
52,배곧 소쇄원 배곧본점,방문자 리뷰,사장님이 친절합니다-^^
53,배곧 소쇄원 배곧본점,방문자 리뷰,소고기 저렴하고 맛있어요 ㅎㅎㅎ 추천드립니당~~~
54,배곧 소쇄원 배곧본점,방문자 리뷰,부모님 모시고 오기 좋아요!
55,배곧 소쇄원 배곧본점,방문자 리뷰,아침일찍 와도 소고기 츄릅츄릅 좋아용
56,배곧 소쇄원 배곧본점,방문자 리뷰,"핵꿀맛입니다
매주오게되요"
57,배곧 소쇄원 배곧본점,방문자 리뷰,"가성비가 좋고 맛있어요
푯말이 성의있어서 좋아요"
58,배곧 소쇄원 배곧본점,방문자 리뷰,"새로 나온 갈비살 저렴한데 넘 맛있네요!!
추천해요!!"
59,배곧 소쇄원 배곧본점,방문자 리뷰,친절하십니다~ 밑반찬도 맛있고 고기도 맛나게 먹었습니당
60,배곧 소쇄원 배곧본점,방문자 리뷰,배곧 숯불구이는 소쇄원^^
61,배곧 소쇄원 배곧본점,방문자 리뷰,명품와규는 사랑입니다♥
62,배곧 소쇄원 배곧본점,방문자 리뷰,매장 들어왔는데 깔끔하고 넓었어요! 둘 다 음식 욕심 때문에 어떤 세트 시킬지 고민하는데 친절하게 알려주셨어용 ㅎㅎ 음식 나오는 것도 깔끔하고 된장찌개 꼭 시켜드세요😋
63,배곧 소쇄원 배곧본점,방문자 리뷰,"가족끼리 점심식사하러왔는데
기본찬인 파김치 열무김치 부터 메인메뉴까지 짱 맛잇어요"
64,배곧 소쇄원 배곧본점,방문자 리뷰,항상 맛있게 잘 먹고가요
65,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 넘 맛있어요
66,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 맛있어요~재방문할께요!!
67,배곧 소쇄원 배곧본점,방문자 리뷰,깔끔하고 맛있고 서비스육회도 베리굿이에요
68,배곧 소쇄원 배곧본점,방문자 리뷰,맛있게 잘 먹었습니다.
69,배곧 소쇄원 배곧본점,방문자 리뷰,진짜 너무너무 맛있어요!!
70,배곧 소쇄원 배곧본점,방문자 리뷰,너무맛있어보여요~~깔끔하고 정갈하네요 :) 맛있게먹겠습니다
