,num,name,blog or review,visitor review
50,51,배곧 우정횟집,방문자 리뷰,맛있어요. 창가에 앉으면 뷰도 좋습니다.
51,52,배곧 우정횟집,방문자 리뷰,오래된 단골집 입니다. 맛있게 먹었습니다. 어느 순간부터 간강게장 추가 비용 받는 게 아쉽지만 늘 찾는 곳이예요.
52,53,배곧 우정횟집,방문자 리뷰,음식 가짓수도 많고 맛 좋아요. 게다가 뷰 맛집이네요.
53,54,배곧 우정횟집,방문자 리뷰,오이도에 오면 항상 들리는 맛집.
54,55,배곧 우정횟집,방문자 리뷰,친절하시고 좋았어요. 가격은 좀 비싸긴 해요. 생각보다 칼국수는 별로였구요. 스끼 다시는 잘 나왔어요.
55,56,배곧 우정횟집,방문자 리뷰,이모님 너무 친절하시고 반찬들도 넘후 맛있어요. 인 생맛집 존 맛탠 오이도 하면 우정횟집 냠냠 메인 음식도 나무나무 맛있아요. 잘 먹고 갑니다.
56,57,배곧 우정횟집,방문자 리뷰,너무 너무 맛있어요.
57,58,배곧 우정횟집,방문자 리뷰,위에 리뷰 사진처럼 저랬다면 좋았을 껄 그릇도 전혀 다르네. 꼭 저렇게 해달라 하시길 뜨내기 손님으로 봤어도 그렇게 대하지는 않을 듯 아무리 바빠도 처음 에 물통 종이컵 수저도 우당탕 놓기 시작하더니 상을 빨리 치워줘야 맛있는 거 드실 수 있다며 빨리 먹고 나가라는 식 옆에서 계속 우당탕 치우는데 메인 모듬 회가 나왔는데 맛있게 드세요 하더니 가버려놓고 이거 안 나왔다고 했더니 나올 꺼라고 핑계 대면서 툭 거리고 결국 생선구이 샐러드 몇 가지가 안 나온.
58,59,배곧 우정횟집,방문자 리뷰,모듬회 코스 소자 시켰는데 너무 풍성하고 괜찮았어요. 관광지 주변은 맛은 별로 고 비싼 경우가 많은데 여긴 여자 셋 양이 서 모둠회 소자 시키니 정말 배 불르게 잘 먹었습니다. 원래 리뷰 잘 안 쓰는데 너무 만족해서 적어요. 회 스키 다시 모두 다채롭고 싱싱했고 직원 분들도 다 친절 하셨어요. 특히 강아지 동반 되서 좋 네요.
59,60,배곧 우정횟집,방문자 리뷰,친구 소개로 오늘 처음 와 봤는데 가게 안에도 매우 청결할 뿐더러 가성비 가득한 음식들이 가득했어요. 다음에도 방문 할 예정입니다.
60,1,배곧 소쇄원 배곧본점,방문자 리뷰,두 번째 방문인데 이제야 리뷰 쓰네욤 배곧 먹을 곳 많아서 두 번 이상 가야 맛집이 다 할 정도로 번화가인데 두 번 오면 말 다 했쥬 밑반찬이 상이 부족할 정도에 요 반 찬들은 무한으로 셀프 바라 부족함 없고 고기도 가성비 좋네요. 날씨 좋아져서 야외 테이블에서 먹었는데 인기 많네요. 테이블 꽉 찼더라고요 동네에 이런 맛집 있어서 좋습니다. 돼지고기는 한 번도 여기서 안 먹어봤는데 다 먹구 일어나려는 데 뒤에 테이블에서 고기 보고 담엔 돼지고기 먹어보자 하고 나왔습니다. 소쇄원 돈.
61,2,배곧 소쇄원 배곧본점,방문자 리뷰,맨날 미인 세트만 먹다가 삼겹한 판 먹었는데 대박이 거 진짜 양 많고 너무 맛있어 요소 고기 맛집은 돼지고기도 맛있네요술도 진짜 이 시릴 정도로 시원해서 여기만 오면 기본 4병입니다. 또 올꺼에요.
62,3,배곧 소쇄원 배곧본점,방문자 리뷰,소쇄원 배곧 본점 가보았는데요. 한 정 주문해야 되는 일품소갈비 몽땅 주문했더니 계란찜이 기본으로 나와 요 곁들임. 사이드 메뉴은 김치 말이 국수 된장찌개에 공 기밥 주문해 갖고 소주 한 상 제대로 먹고 나왔습니다. 가격에 맛까지 만족스럽고 우리 동네에 이런 곳이 왜 없나 싶어요.
63,4,배곧 소쇄원 배곧본점,방문자 리뷰,저렴한데 맛있어요. 고기 진짜 와 웅 손님 많은 이유가 있습니다. 반찬이 달달해서 쫌 덜 달았으면 좋겠어요.
64,5,배곧 소쇄원 배곧본점,방문자 리뷰,안창살 주문했는데 너무 맛있어요. 정말 부드럽고 나오는 반찬도 맛있고 추가 주문한 육회 비빔밥 완전 제 스탈 입니다.
65,6,배곧 소쇄원 배곧본점,방문자 리뷰,매장 넓고 음식도 다 맛있고 반찬 셀프라서 좋아요.
66,7,배곧 소쇄원 배곧본점,방문자 리뷰,매번 소고기 먹다가 삼겹먹엇는데 이것도 맛있네요. 역시나 이 동네 가성비 식당.
67,8,배곧 소쇄원 배곧본점,방문자 리뷰,정말 너무너무 맛있어요. 최고입니다. 사장님 친절하시고 맛집입니다.
68,9,배곧 소쇄원 배곧본점,방문자 리뷰,여기 진짜 배곧 최고 맛집이에요술이 너무 차서술이 술을 부름.
